Geographic Area Name,year,Estimate!!Total,Spanish,French (incl. Cajun),Haitian,Italian,Portuguese,German,"Yiddish, Pennsylvania Dutch or other West Germanic languages",Greek,Russian,Polish,Serbo-Croatian,Ukrainian or other Slavic languages,Armenian,"Persian (incl. Farsi, Dari)",Gujarati,Hindi,Urdu,Punjabi,Bengali,"Nepali, Marathi, or other Indic languages",Other Indo-European languages,Telugu,Tamil,"Malayalam, Kannada, or other Dravidian languages","Chinese (incl. Mandarin, Cantonese)",Japanese,Korean,Hmong,Vietnamese,Khmer,"Thai, Lao, or other Tai-Kadai languages",Other languages of Asia,Tagalog (incl. Filipino),"Ilocano, Samoan, Hawaiian, or other Austronesian languages",Arabic,Hebrew,"Amharic, Somali, or other Afro-Asiatic languages","Yoruba, Twi, Igbo, or other languages of Western Africa","Swahili or other languages of Central, Eastern, and Southern Africa",Navajo,Other Native languages of North America,Other and unspecified languages,Estimate!!Total:
Iowa,2019,,122459,7722,732,1083,1435,10571,5129,368,1788,602,8459,1286,58,563,1273,3001,1227,470,686,3406,1626,2702,996,740,12259,1168,2992,462,8768,917,5505,6754,3144,2088,9083,270,2208,2120,5097,36,1271,884,2943081.0
Kansas,2019,,211519,4338,291,717,2213,10777,2142,240,2160,349,782,879,28,1400,1150,4569,1849,1208,903,3172,1369,4022,1221,1144,11442,2121,3505,1582,12800,1574,5371,3884,3557,2110,5118,331,3370,1516,3835,331,1009,690,2719539.0
Kentucky,2019,,114553,7581,933,1247,1498,13487,6636,511,4026,600,4981,1757,43,1589,3940,3518,1563,418,366,4679,1672,1944,1471,1019,7197,4199,3411,241,4686,1042,1487,4382,4732,1516,8449,259,4665,2838,4511,140,365,958,4174460.0
Louisiana,2019,,163720,84940,4126,2012,2830,4713,637,664,1470,297,741,638,52,858,851,3022,2056,415,441,1877,1569,1025,291,549,9350,1735,2701,71,28292,1001,2749,951,5306,1030,10148,414,877,1578,1292,0,466,841,4356927.0
Maine,2019,,11504,34473,331,839,1585,2735,601,876,910,638,564,809,67,389,140,381,200,12,87,292,1099,177,73,77,3262,660,387,0,955,1408,609,192,1395,385,2167,184,2627,310,1946,11,1190,765,1271457.0
Maryland,2019,,471743,54224,14862,7917,13304,15983,3897,8136,21205,4209,1775,4566,1641,14281,10901,20713,18881,6829,8576,14089,7190,9316,6651,5685,70166,6382,36940,34,21855,2383,5028,10493,32899,4588,19020,5983,31649,52795,12718,98,443,12060,5653980.0
Massachusetts,2019,,592436,53403,86271,30081,194006,15900,3857,21426,40744,16406,4646,8654,6215,6211,12223,26051,7626,4274,7642,14225,24675,9521,10427,5721,135121,8859,16774,596,43102,22048,6344,9222,9072,2895,33534,7121,10252,17008,14721,64,656,7276,6489537.0
Michigan,2019,,280327,20906,1738,14843,6251,32441,11286,5870,11598,17840,11717,12707,2157,4027,9571,20695,14807,7266,20732,9546,33748,15371,8918,9215,50313,12145,15787,5204,14593,823,5144,6841,15487,2740,145135,2325,32239,6556,7005,46,2727,5108,9394171.0
Minnesota,2019,,205634,15479,1526,2023,3265,19060,3080,977,14474,2700,3983,4386,112,2196,1868,9258,3051,1006,2091,6365,7608,6068,5503,3035,23773,4411,5032,64057,22940,5888,9752,16866,7643,2618,15014,1268,83546,12244,10799,39,6277,4834,5211714.0
Mississippi,2019,,67792,3876,304,638,626,2596,615,269,591,268,36,140,0,380,639,1573,551,950,305,991,255,773,453,207,3754,941,1097,9,6599,370,319,225,2953,416,3583,204,305,735,245,20,3914,491,2797771.0
Missouri,2019,,151938,10970,1206,3661,2318,20180,10773,1301,6840,1865,13101,2910,342,1955,2876,5320,3349,1163,1528,3802,4865,4996,1904,2331,23480,2361,6487,1437,13786,742,2400,3727,7911,4153,13648,889,6471,3985,6055,134,940,1496,5733340.0
Montana,2019,,14903,1955,49,504,333,6257,886,137,728,162,114,349,9,126,0,128,68,13,6,135,647,16,0,0,1151,681,436,85,289,0,269,170,1182,402,633,335,36,140,118,125,6981,687,989614.0
Nebraska,2019,,133473,3982,251,563,1106,4421,567,308,1766,630,930,1278,44,1069,188,1998,466,130,341,3478,2348,1747,981,591,5209,1358,1627,235,6528,144,1889,6278,1755,934,5774,86,3945,1193,3477,31,791,519,1783098.0
Nevada,2019,,591714,8763,635,4122,4311,7843,1628,1638,5458,1513,3541,3564,3500,4299,873,4576,1681,2306,1368,2104,4387,742,892,839,31292,6063,10754,212,9724,1093,6318,1849,80467,9825,4451,2651,12653,1434,1774,657,2366,2297,2788848.0
New Hampshire,2019,,30292,18153,519,1417,3987,3253,585,1953,1812,965,1032,928,107,343,745,1789,390,103,313,4154,1957,2153,1464,809,5703,840,1413,7,2363,499,1717,675,2093,1068,3078,503,506,755,1828,3,142,831,1284281.0
New Jersey,2019,,1371956,35847,52174,61875,79236,19597,9531,20418,50149,56328,6852,20941,4401,6396,78583,78454,31843,16231,24466,22740,20874,31089,26470,17482,119447,10744,75617,15,16953,1104,2971,18668,76139,5262,67877,16100,4650,34733,6855,17,989,15696,8358979.0
New Mexico,2019,,523639,4603,180,988,652,5124,731,539,1167,493,195,374,51,1189,452,1016,714,154,505,672,1267,668,169,132,5135,1521,1576,14,4376,0,1125,720,4139,971,2872,473,130,1013,1189,64953,32751,723,1966304.0
New York,2019,,2758925,129382,147951,149710,44248,54922,169669,61238,218526,83464,32012,36742,7075,25304,18176,61606,73704,34831,124962,31764,82512,10124,11181,30345,587279,33085,98713,311,23753,3761,11358,53955,75333,9761,105028,63370,15179,90443,11511,191,4177,34585,18418118.0
North Carolina,2019,,735619,28268,6022,7025,8752,22255,4507,4880,13022,3775,3633,4467,366,5328,13906,19211,5717,2335,3353,12969,9230,14780,9749,5336,37438,7203,15548,11163,23104,3294,7328,10371,13749,7447,23302,1866,6891,11954,8306,137,2072,4109,9659751.0
North Dakota,2019,,12945,2012,208,119,99,5621,448,8,572,581,1024,360,0,283,162,441,180,40,93,2101,1397,91,36,8,1517,535,407,42,691,21,214,96,1642,297,1349,6,2154,923,1097,37,1758,384,703502.0
Ohio,2019,,256003,25258,2117,12916,4259,44046,54186,8108,15854,6505,10552,14479,628,3687,8829,19966,5482,4530,3723,26606,15327,12326,7154,3721,46420,8978,10577,608,13670,3975,5219,8463,12173,3305,44168,2250,24276,20688,7272,40,1180,8908,10960686.0
Oklahoma,2019,,266711,4971,588,792,1353,7618,1390,352,2041,454,275,529,115,1692,1260,2473,2440,301,1397,1769,1296,1221,1190,2191,9925,1845,4079,3716,18298,348,2679,4621,4137,3612,5400,661,792,3036,1976,306,13797,760,3671554.0
Oregon,2019,,354093,10781,438,2745,3078,14789,3108,1093,21251,1529,2166,6969,456,4490,892,7145,1129,1014,1829,3680,9479,3361,2501,1546,32665,9350,10485,1932,26571,3239,4719,5192,11544,9675,8171,1394,6858,1331,1662,190,1831,2489,3899246.0
Pennsylvania,2019,,603300,37898,18236,33604,16273,42963,75174,13455,39527,18307,6430,18188,1391,5661,22231,25107,11886,5153,12422,20663,20226,13358,9928,14276,89253,6761,27176,362,35626,9929,4937,10969,15865,5696,38700,5987,6395,18568,7222,97,1014,9887,12084967.0
Rhode Island,2019,,123414,9406,8894,5879,29268,1995,178,1556,1744,1487,180,448,634,270,854,2241,852,46,388,631,1804,806,1024,418,7014,815,1184,761,1612,4795,2696,646,1439,139,3381,480,221,3401,552,24,105,877,1002559.0
South Carolina,2019,,215524,11039,761,3038,5062,13129,1442,1682,6820,1537,829,3016,87,1137,4476,3984,1027,566,778,1291,2895,1896,1148,924,12400,2414,4286,1252,7673,1320,2164,2152,8250,1174,4223,909,1287,1277,913,0,666,2233,4729875.0
South Dakota,2019,,16458,1140,57,193,61,5164,438,85,434,38,741,672,3,151,55,299,365,0,98,1432,472,322,5,101,1312,217,581,42,673,141,478,2028,1064,198,1157,26,2372,456,2031,83,9970,316,810239.0
Tennessee,2019,,261658,10717,1779,2007,2360,11851,2862,1106,5368,1561,1347,2518,171,3295,6383,5037,2309,167,1311,4571,9673,4609,2241,1916,15770,4129,8287,451,10442,1700,6716,4469,7468,2478,23909,546,7533,5712,3715,29,911,1641,6302918.0
Texas,2019,,7690703,71800,8004,11339,28486,61654,10864,6952,25237,8092,8789,9273,1861,34928,35672,87604,79426,9448,22273,44515,24157,52687,32793,44718,175654,19559,58636,1038,221068,11003,22688,28275,86959,20687,92138,6107,33974,74568,34070,1066,3052,11425,26261053.0
Utah,2019,,296951,7848,212,2278,12099,8522,2058,1147,3513,842,3396,1289,655,1474,465,2486,1495,1058,346,3234,3916,1598,1118,604,15761,5553,4909,194,7059,1503,3981,2227,5888,12297,4273,132,3197,674,2263,7761,1930,1444,2845963.0
Vermont,2019,,6771,8385,85,865,227,2303,457,252,858,639,1605,309,124,113,154,188,91,235,138,1929,868,97,14,44,2439,414,462,0,545,60,236,488,507,97,735,215,553,117,478,0,109,484,594745.0
Virginia,2019,,581242,32427,5576,8232,10601,25774,4316,6559,16783,3962,4166,5290,1262,31469,9291,29796,33083,8494,14766,16430,15828,23556,10198,7085,62068,10772,55284,177,50611,6716,11183,13010,46320,5000,54022,1563,37306,23073,5934,124,783,6827,7946064.0
Washington,2019,,597020,22970,1738,4538,7150,26511,4769,2319,57090,5090,5208,29016,1284,9726,4020,30978,6920,17414,3403,10209,21158,11783,9095,6928,115095,26978,47521,1846,63568,16208,13463,9554,61927,32136,18090,3742,37620,6283,9357,527,3672,6515,6949743.0
West Virginia,2019,,18195,2538,108,1339,291,2534,493,449,465,334,41,218,11,524,365,634,521,13,490,991,494,584,386,258,2879,911,470,22,1029,8,164,314,1474,550,2584,50,250,562,425,9,170,431,1719765.0
Wisconsin,2019,,253716,9213,489,3521,2102,29187,10916,1741,5647,6020,4044,2732,303,1497,2026,7256,4248,2743,1500,3298,6916,3700,2488,1667,16688,2289,4268,42775,3875,855,3077,6815,5392,1683,8623,874,2734,3130,1259,192,3575,1984,5457532.0
Wyoming,2019,,27394,1131,53,309,155,2053,191,104,377,15,166,206,0,47,30,65,63,6,120,174,189,47,110,27,908,596,423,4,215,36,206,17,797,372,335,29,4,192,308,291,2230,258,544483.0
Puerto Rico,2019,,2994452,1131,98,655,442,286,65,0,69,0,8,8,0,36,50,49,0,0,38,0,57,35,0,0,1265,84,48,0,108,0,0,0,8,0,423,68,0,23,34,0,0,104,3174824.0
Alabama,2020,,152727,6543,1110,1094,2119,8203,738,862,2140,395,312,1011,51,1107,2952,2654,2220,471,1093,2213,1340,2120,386,474,10460,1838,8920,81,7250,498,2198,1074,3521,1171,5734,266,402,1432,1637,60,708,1509,4599254.0
Alaska,2020,,23785,2100,286,352,323,2998,350,205,4502,383,406,665,14,97,31,106,227,13,58,328,1121,14,21,19,1514,1690,4115,4195,685,124,1804,391,18419,6029,1150,137,405,462,590,23,27667,706,684688.0
Arizona,2020,,1358980,16567,874,7684,4449,18169,3183,2623,7056,6312,7750,4190,1674,7768,4606,14505,3393,3863,3554,6396,13192,7867,6590,3350,35526,7143,9804,111,22073,1956,4468,5009,26831,6899,23294,2903,10835,4208,9503,84467,28909,4780,6742840.0
Arkansas,2020,,153429,3127,169,530,1074,3924,1286,159,541,460,168,526,53,433,1301,1842,1028,328,758,926,1421,2122,1141,423,4822,1131,1951,1214,4842,378,5072,503,3194,7792,2862,244,127,568,555,8,625,441,2823428.0
California,2020,,10462968,129503,8201,54379,90156,94175,26891,19881,166823,20449,20267,39152,194004,207821,50703,200278,57457,141680,28300,57148,71997,66060,59382,37821,1254601,136915,360451,74662,564809,70134,78054,65423,786864,121988,190446,44657,64594,32127,17176,1300,5784,35605,36936941.0
Colorado,2020,,602273,18965,1032,4367,5898,22635,3129,2012,15342,4637,2925,3870,664,5177,1740,7737,1901,1596,1587,7084,7051,3563,3301,2222,24224,6996,14044,2991,20909,2133,4128,7049,8379,5861,12795,2284,15379,5824,4624,2581,1686,4007,5353987.0
Connecticut,2020,,403019,23056,15590,26305,35604,8735,2061,8750,10255,29528,4712,5224,690,2253,7991,13657,7027,1514,5839,4730,16741,5929,5963,3373,28340,3896,6353,104,8181,2182,3272,3198,7415,954,12663,2343,1503,7490,2240,15,585,9316,3387841.0
Delaware,2020,,64832,3257,4740,1214,594,1895,2662,984,1007,778,284,722,0,625,2701,2686,919,166,1336,576,713,1730,2013,964,8643,494,1628,0,1399,177,417,982,2635,167,1943,142,339,2852,2037,29,44,1338,912905.0
District of Columbia,2020,,59522,8372,763,1648,1654,2465,321,654,2012,356,546,775,337,1473,396,1262,361,236,616,907,1469,229,516,220,5649,882,1735,0,1522,192,125,713,1372,464,2435,765,6185,2003,830,0,21,1019,657061.0
Florida,2020,,4376716,105110,420986,45311,134199,61661,17492,19404,53259,25053,16931,20722,2526,10376,22687,28746,17087,2653,13670,11327,39000,13498,8544,11261,77968,11725,19065,1134,67807,4772,15425,14388,66800,9063,62722,22348,5065,10688,5608,228,1698,32522,20083534.0
Georgia,2020,,781103,36896,17103,5369,19638,22664,5234,1944,14612,2575,5576,5538,396,8624,23356,31912,14393,2638,10397,13940,13444,19004,12980,7712,51251,9588,47879,3783,52832,2389,7169,9217,13502,5153,20010,4932,21530,33742,12993,167,682,10681,9864494.0
Hawaii,2020,,29327,3827,288,918,1596,3041,412,239,1191,578,338,482,114,427,43,639,56,59,37,466,1021,138,160,98,31910,40764,18777,26,9513,409,4066,495,57292,125108,621,375,121,193,129,22,119,12526,1331895.0
Idaho,2020,,131145,3135,172,602,1492,4053,757,234,2574,417,1644,2106,82,847,15,831,204,64,57,1728,1706,273,315,162,4927,1474,967,37,1480,30,1204,674,2270,1130,3159,305,572,57,1241,357,2185,514,1640035.0
Illinois,2020,,1596614,35390,4931,27094,9158,33146,6500,27244,44146,170377,30839,42867,2074,7556,47665,47493,52562,6136,5743,15716,49341,22369,13444,15662,105801,14723,40729,373,27147,2777,11355,15974,78836,6793,69756,5190,20579,23802,7829,84,852,6316,11960646.0
Indiana,2020,,290345,11600,1897,2532,2746,30330,30437,3673,4324,3935,4316,4489,189,1884,3813,8960,3568,7076,1816,3029,4178,4491,4642,1693,26718,5952,7838,300,7415,756,2460,20759,8516,2787,12036,1070,2931,8614,3784,62,635,1912,6278766.0
Iowa,2020,,121749,8256,555,897,2076,10009,5371,363,2629,606,7455,1123,35,519,1418,3595,1176,605,626,4753,1496,2743,955,693,11330,1241,3062,192,9162,877,5834,7184,3409,2801,9952,250,2136,2509,5445,47,1513,697,2954549.0
Kansas,2020,,207181,3976,512,814,1972,10202,2446,205,2114,270,559,866,32,1781,1126,4155,2039,1684,959,3134,1099,3221,1011,1086,11214,1907,3814,1682,13161,807,5747,4123,3364,2132,6273,249,2772,2015,3966,271,1069,548,2723766.0
Kentucky,2020,,113336,9006,1180,1309,1702,12914,7678,494,3993,681,4504,1693,59,1865,3802,3694,1629,383,411,5376,1551,1883,1384,1178,7942,3842,3579,324,5008,1194,1367,4956,4297,1553,8534,245,4543,2866,5498,44,339,1097,4188377.0
Louisiana,2020,,161117,76909,4168,1986,3134,4641,756,610,1850,315,740,620,61,621,1444,2573,2003,645,835,1944,1652,1435,232,595,10233,2199,2287,18,24960,995,2672,1013,5827,792,10789,412,1283,1990,1137,0,487,945,4359716.0
Maine,2020,,11811,33632,220,856,1555,2890,1096,736,804,825,220,775,46,867,107,342,173,8,187,108,921,206,104,65,3304,681,510,0,838,1040,649,282,1290,372,1542,251,2399,271,2169,10,1145,874,1276837.0
Maryland,2020,,470919,56579,12731,7241,15509,15212,3340,7876,20719,4322,1959,4323,1506,16288,9697,18499,20676,7404,8261,15244,8866,9531,6726,4981,70599,6656,37839,18,21221,2398,5432,10246,32660,4863,20887,6510,32363,54301,11345,19,617,12400,5674006.0
Massachusetts,2020,,593684,51400,89506,29302,191943,15839,3754,20380,38615,16082,4299,7894,6486,6737,11955,29578,8416,4012,8823,14222,25064,9344,10184,6852,140002,9450,16724,899,42084,21896,6649,9115,8472,3235,34737,6866,9755,18602,14964,71,754,8452,6514973.0
Michigan,2020,,272275,21522,1763,14679,7051,32254,12402,7015,12077,18036,10692,14431,1854,4188,9282,20831,14722,7715,21627,9674,35193,15253,9414,9440,47988,12774,15585,5762,14783,947,4919,6734,15674,3439,147867,2198,30293,7625,7815,88,2876,4987,9405581.0
Minnesota,2020,,203634,16288,1368,1913,3329,18360,3178,1097,14239,2856,3602,3882,112,2623,1824,8374,3380,1159,2348,6876,7377,6531,6070,2637,24128,4691,5158,67265,20874,6057,9746,15762,7770,2402,14758,1282,85630,11602,11079,27,6302,4542,5249062.0
Mississippi,2020,,67565,3969,523,1000,628,2442,657,276,557,188,15,188,0,357,465,1486,567,758,256,1088,275,704,342,605,4122,678,929,19,5983,350,359,200,3642,389,3594,101,297,736,368,15,4069,550,2796561.0
Missouri,2020,,149698,11836,1209,3457,2510,19321,9670,1160,6983,1976,13979,3253,294,2170,2043,5939,3901,1193,1522,3490,5400,5787,2042,2364,23747,2633,6548,1044,14631,747,2359,3842,8518,4043,13133,779,5873,3479,5817,97,912,1705,5753114.0
Montana,2020,,14172,1763,50,443,311,5695,610,148,886,194,70,398,16,189,0,117,114,9,3,187,668,0,22,0,1132,620,261,141,644,15,367,207,1317,658,680,275,42,145,116,69,6676,674,1000367.0
Nebraska,2020,,137352,4660,149,571,892,4176,495,312,2059,624,980,1520,34,982,279,2146,375,158,334,3062,2740,1764,787,751,5653,1772,1752,162,6870,199,1669,6641,2164,950,5611,133,3863,1404,3672,36,834,510,1793084.0
Nevada,2020,,593610,8661,972,3930,3901,7885,1515,1697,5313,2013,2966,3466,3467,4743,1279,4056,1925,2133,1005,2308,4793,1182,1008,886,31295,6098,10799,250,10786,997,6863,1359,83372,9878,5422,3241,13698,1732,1762,583,2548,2863,2846140.0
New Hampshire,2020,,30856,17619,258,1464,4937,3600,475,2695,1998,900,1392,837,117,297,810,1732,453,258,112,4187,1974,2115,954,698,5793,868,1602,12,2192,279,1541,571,1762,955,3051,366,382,951,2167,3,158,897,1291567.0
New Jersey,2020,,1368165,35687,54533,60075,84801,19450,9653,19233,51713,59210,7558,21487,4119,5136,80552,79659,32614,16118,23326,22030,22159,35776,28129,17812,119892,11557,75298,12,16357,1093,3226,21065,75711,5447,71366,17182,6131,36211,7022,0,839,17053,8367069.0
New Mexico,2020,,514071,4040,175,1069,628,6123,638,649,1112,638,359,507,43,1191,365,1022,812,128,431,791,1144,637,104,376,5201,1548,1940,11,4460,0,922,508,5135,912,2946,298,85,1426,1424,63783,32954,714,1974028.0
New York,2020,,2702957,129735,145635,144062,47232,54524,179324,60074,223297,82573,29554,37313,7101,26401,18878,56428,73872,35546,132155,32186,85819,10146,10991,29871,584577,33611,93719,304,22524,3833,10773,55822,72680,10370,109414,63067,17106,89948,11747,120,3720,35285,18374180.0
North Carolina,2020,,736886,29939,5525,8125,9444,21300,4390,5079,12195,3480,3358,5273,360,4564,14213,19792,7447,3299,3431,12818,8627,16684,9867,4614,37320,7963,16608,10700,24305,3469,7136,9729,14292,7058,28183,1644,7812,12151,9359,124,2044,5029,9780928.0
North Dakota,2020,,13295,2087,195,98,105,4953,576,1,450,195,600,293,0,326,526,275,182,26,151,1913,1477,99,87,6,1162,818,978,37,565,30,309,67,1762,232,1575,6,2256,944,1521,57,1767,407,706986.0
Ohio,2020,,252994,26457,2362,12603,4538,43517,53608,8350,15988,6271,10042,14142,613,3573,8373,19966,5738,5631,3989,27916,14531,13320,7349,4280,47588,9381,10311,319,13299,3270,5086,8055,13453,3556,44730,2325,25300,22306,8573,39,1049,8332,10982292.0
Oklahoma,2020,,269433,5467,554,838,1765,7973,1562,310,2173,574,287,704,225,2041,1337,2669,2327,408,1356,1465,1403,1218,1189,2231,9675,1710,4451,4211,17684,266,2780,5612,4182,4288,4607,816,1323,2846,2224,230,13883,1157,3690339.0
Oregon,2020,,349549,12250,436,2694,3161,14417,3107,1331,22044,1441,1733,7839,592,5145,868,6779,885,1469,1772,3455,9476,3935,2558,2414,31144,9854,10516,1994,27023,3369,5209,5776,12283,9074,9144,2140,7172,1295,1398,190,2286,3832,3948032.0
Pennsylvania,2020,,615972,36571,19415,33201,17001,39564,72960,12514,40408,16186,6807,18178,1676,5234,20723,25691,13530,5184,12861,21159,20483,13642,11284,13499,91052,6292,26437,679,36859,10815,5341,10861,16716,5838,37087,5618,6782,20236,7798,70,981,10354,12092654.0
Rhode Island,2020,,123763,9545,9097,5416,28559,1943,145,1360,2321,1604,169,609,625,163,989,2223,730,64,481,685,1477,1064,893,631,6640,895,1121,590,1303,4542,2993,570,1383,178,3197,269,262,4135,827,23,76,927,1003110.0
South Carolina,2020,,221714,10970,1092,2955,5686,12601,1333,1873,7189,1962,1067,4122,118,1100,4812,5400,1053,489,697,1234,3835,2320,1057,887,11894,2984,4672,1337,7530,1172,2197,2063,8536,1073,4628,881,1752,2144,1322,1,371,2913,4799866.0
South Dakota,2020,,17587,1174,63,134,201,5128,573,80,1262,59,581,591,4,149,48,290,305,0,114,1415,362,232,221,131,1175,178,769,31,686,109,578,1217,1128,271,1119,20,2668,463,2619,60,9475,249,819317.0
Tennessee,2020,,264534,10625,2671,2105,2645,10776,3257,961,4911,1894,1464,2644,177,2857,7631,6014,2733,335,1310,4375,9070,4297,2477,1555,15351,4411,8065,562,9457,1643,7116,4211,7442,2458,26921,516,7071,6187,4552,11,957,1402,6365282.0
Texas,2020,,7666020,74893,7503,12455,30292,60361,10074,7966,25768,8829,9479,9295,1912,37005,38788,85374,84889,10213,21336,44562,27877,54400,34182,43199,178422,20525,62839,1525,230667,11842,22334,29762,87088,21435,102491,6229,36553,80446,35235,776,3345,11158,26638435.0
Utah,2020,,297926,7380,272,2204,12483,8760,1990,1250,3273,827,3549,1415,742,2224,953,2736,1537,1046,367,3072,4161,1576,790,972,16328,5245,5374,330,7452,1545,3193,2678,5793,13034,4208,132,2848,542,2701,7767,1524,1416,2902637.0
Vermont,2020,,6810,8338,78,785,357,2053,474,246,975,528,1239,354,109,206,142,271,97,267,15,1839,727,130,11,93,1976,381,432,0,452,122,127,562,481,94,404,215,521,254,402,0,70,451,595302.0
Virginia,2020,,580417,34352,6004,8367,11633,25951,4339,6474,17053,4181,4113,5697,1937,30834,9916,31943,34616,8121,14635,16963,16453,24308,10510,7778,60084,9844,58741,177,48699,6398,11398,14622,45566,5543,55999,2201,38496,23869,5451,121,630,7159,8001236.0
Washington,2020,,602058,24141,1511,4663,8077,26944,4339,2453,59132,5143,5317,30577,1435,11920,4203,33322,7177,18944,3392,9477,22943,12135,10946,7996,118426,28685,51217,1560,62742,16029,13420,10766,61621,32029,20468,3841,39325,8119,11618,316,4222,7168,7057853.0
West Virginia,2020,,17467,2367,82,1567,228,2147,766,499,529,163,44,126,11,246,324,547,435,14,502,1132,474,358,350,86,2692,783,585,24,806,9,267,276,1807,426,2808,48,247,614,392,10,116,357,1711734.0
Wisconsin,2020,,254258,8926,620,3568,2174,27160,10707,1643,5841,6069,4314,2505,397,1192,1920,6867,4022,2237,1509,3952,7252,4148,2297,1850,16754,2288,3962,40771,4582,669,3632,6502,5470,1861,8643,831,2740,3316,1393,102,3258,3024,5475909.0
Wyoming,2020,,25717,1072,43,273,160,1980,194,55,691,72,185,208,0,62,22,66,50,8,117,60,146,44,151,44,1103,592,357,4,74,9,196,40,539,530,258,15,3,271,12,282,1975,296,545912.0
Puerto Rico,2020,,2952046,1067,90,586,411,281,80,0,50,0,10,9,0,22,47,90,0,0,36,17,53,42,0,0,1275,87,48,0,10,0,0,0,10,0,444,42,0,24,18,0,0,70,3124678.0
